Year,Temp_Jul
1880,-0.21
1881,0.06
1882,-0.3
1883,-0.07
1884,-0.42
1885,-0.36
1886,-0.16
1887,-0.26
1888,-0.03
1889,-0.09
1890,-0.25
1891,-0.14
1892,-0.39
1893,-0.15
1894,-0.22
1895,-0.21
1896,-0.03
1897,0.02
1898,-0.14
1899,-0.19
1900,-0.14
1901,-0.01
1902,-0.34
1903,-0.45
1904,-0.61
1905,-0.23
1906,-0.28
1907,-0.42
1908,-0.37
1909,-0.47
1910,-0.4
1911,-0.4
1912,-0.54
1913,-0.53
1914,-0.35
1915,-0.11
1916,-0.35
1917,-0.34
1918,-0.35
1919,-0.35
1920,-0.26
1921,-0.05
1922,-0.29
1923,-0.31
1924,-0.23
1925,-0.27
1926,-0.2
1927,-0.09
1928,-0.12
1929,-0.37
1930,-0.04
1931,0.07
1932,-0.16
1933,-0.15
1934,-0.05
1935,-0.05
1936,0.07
1937,0.14
1938,-0.03
1939,0.04
1940,0.14
1941,0.24
1942,-0.02
1943,-0.03
1944,0.14
1945,0.07
1946,-0.04
1947,-0.03
1948,0.01
1949,-0.11
1950,-0.19
1951,0.08
1952,0.14
1953,0.21
1954,-0.11
1955,-0.05
1956,-0.19
1957,0.11
1958,0.05
1959,0.05
1960,0.09
1961,0.06
1962,0.1
1963,0.1
1964,-0.13
1965,-0.18
1966,0.11
1967,0.04
1968,-0.08
1969,0.06
1970,-0.04
1971,-0.13
1972,-0.05
1973,0.04
1974,-0.12
1975,-0.06
1976,-0.26
1977,0.08
1978,-0.07
1979,0.05
1980,0.13
1981,0.09
1982,0.04
1983,0.2
1984,0.08
1985,-0.08
1986,-0.02
1987,0.25
1988,0.42
1989,0.32
1990,0.33
1991,0.43
1992,-0.1
1993,0.12
1994,0.33
1995,0.37
1996,0.29
1997,0.41
1998,0.75
1999,0.35
2000,0.41
2001,0.63
2002,0.66
2003,0.68
2004,0.5
2005,0.75
2006,0.69
2007,0.65
2008,0.6
2009,0.68
2010,0.89
2011,0.71
2012,0.85
2013,0.69
2014,0.77
2015,0.92
2016,1.05
2017,0.98
2018,0.93
2019,1.03
2020,1.1
2021,1.08
2022,1.07
2023,1.45
2024,1.42
2025,1.23
2026,
